,nonlinear,nonlinear,nonlinear,monotonic,linear,linear,linear,linear
,XGBoost,Random Forest,Permutation,spearman,pearson,PCA,Lin. Reg.,Lasso
s5,0.35591525,0.24994463681788542,0.44040191447219634,0.5894156103498537,0.5658825924427437,0.37861801599069933,0.21713253071755226,0.3605119229151623
bmi,0.17129238,0.3208198249311409,0.543643506223005,0.5613820101065617,0.5864501344746883,0.3031621631388775,0.15024545684370733,0.41516274351160637
s6,0.08273611,0.07122512601997875,0.09543463562110985,0.3507920643434402,0.3824834842485811,0.3221829550849705,0.019545413111841107,0.0
bp,0.07375442,0.09739905317732406,0.15414917129950417,0.4162408981534321,0.44148175856257116,0.2717377304844057,0.09375339379690584,0.14476824445747816
s4,0.07139544,0.03088338528453747,0.037805625827946464,0.44893092088947295,0.43045288474477295,0.4288336980133314,0.05117467697230418,0.0
s3,0.05896139,0.049717703573218766,0.0674926856800526,-0.4100216026669421,-0.39478925067091847,-0.28243681319974895,0.029203445418482007,-0.079557089115753
s2,0.05530592,0.05400052918943882,0.06291422756324244,0.1958344575754793,0.17405358696874257,0.35186068241776003,0.13778673495918373,-0.0
s1,0.05255524,0.04854134391613705,0.05857992388070512,0.23242925117605812,0.2120224810145507,0.34325510837891754,-0.22895397679040463,-0.0
sex,0.045259014,0.014815050293603518,0.02217265373409989,0.03740081502886254,0.043061998451605424,0.18696687908602594,-0.06931132774506775,-0.0
age,0.032824785,0.06265334679673525,0.08092308551034558,0.19782187832853038,0.18788875071891986,0.21643089648897465,-0.0028930436445512723,0.0
